status,priority,bucket,title,year,venue,authors,doi_or_arxiv,url,source_found,seed_from,method_family,task,sensing,action_space,unseen_definition,benchmark_or_environment,sim2real,main_result,main_limitation,relevance_to_internship,notes
candidate,P1,contact-tactile,ViTract: Robust Object Shape Perception via Active Visuo-Tactile Interaction,2024,IEEE Robotics and Automation Letters,,10.1109/lra.2024.3483037,https://doi.org/10.1109/lra.2024.3483037,OpenAlex citing expansion,AcTExplore,active visuo-tactile perception,shape perception,vision and tactile,,unknown objects broad,robot interaction,unknown,strong follow-up to AcTExplore and likely highly relevant,need full-paper read for exact task and setup,very relevant,high-priority read
candidate,P1,contact-tactile,Tactile-Driven Non-Prehensile Object Manipulation via Extrinsic Contact Mode Control,2024,Robotics: Science and Systems,,10.15607/RSS.2024.XX.135,https://www.roboticsproceedings.org/rss20/p135.html,venue sweep,RSS tactile/contact branch,contact-rich tactile control,non-prehensile manipulation,tactile,controller optimization,object geometry variation,real robot,unknown,strong contact-centric classical or hybrid method,not specifically unseen-object reaching,relevant method transfer,important for non-deep-learning branch
candidate,P1,classical-methods,Controlling Contact-Rich Manipulation Under Partial Observability,2020,Robotics: Science and Systems,,10.15607/RSS.2020.XVI.023,https://www.roboticsproceedings.org/rss16/p023.html,venue sweep,RSS contact-rich branch,belief-space control plus RL switching,contact-rich manipulation,joint sensor feedback and belief,goal-directed controllers,partial observability broad,real-world robot,yes,strong model-based or hybrid baseline for uncertain manipulation,not focused on unseen-object generalization,directly relevant as a non-VLA non-foundation baseline,high-priority classical read
candidate,P1,contact-tactile,A visuo-tactile control framework for manipulation and exploration of unknown objects,2015,Humanoids,,10.1109/humanoids.2015.7363434,https://doi.org/10.1109/humanoids.2015.7363434,reference expansion,Tactile-Based Task Definition...,visuo-tactile control,manipulation and exploration,vision and tactile,control framework,unknown objects,robot manipulation,no,directly aligned older foundational paper,pre-2020 and likely older hardware,still highly relevant foundational baseline,important ancestor paper
candidate,P1,contact-tactile,A Control Framework for Tactile Servoing,2013,RSS,,10.15607/rss.2013.ix.045,https://doi.org/10.15607/rss.2013.ix.045,reference expansion,Tactile-Based Task Definition...,tactile servoing,touch-driven control,tactile,servo control,not focused on unseen objects,robot manipulation,no,core tactile-servoing reference,older and likely narrow,important classical tactile control ancestor,keep as foundational method
candidate,P1,contact-tactile,Tactile servo: Control of touch-driven robot motion,2005,Lecture Notes in Control and Information Sciences,,10.1007/bfb0027597,https://doi.org/10.1007/bfb0027597,reference expansion,Tactile-Based Task Definition...,tactile servoing,touch-driven motion,tactile,servo control,not explicit,robot motion,no,older but foundational tactile control work,very old and likely not directly reusable,important conceptual root,background reference
candidate,P1,contact-tactile,Active haptic shape recognition by intrinsic motivation with a robot hand,2015,World Haptics Conference,,10.1109/whc.2015.7177729,https://doi.org/10.1109/whc.2015.7177729,reference expansion,AcTExplore,active haptic exploration,shape recognition,tactile,in-hand exploration,unknown objects broad,robot hand,no,direct predecessor conceptually to active tactile exploration,older setting and embodiment,important exploratory ancestor,good for literature genealogy
candidate,P1,sim2real-fusion,SimNet: Enabling Robust Unknown Object Manipulation from Pure Synthetic Data via Stereo,2022,Conference on Robot Learning,"Thomas Kollar, Michael Laskey, Kevin Stone, Brijen Thananjeyan, Mark Tjersland",,https://proceedings.mlr.press/v164/kollar22a.html,venue sweep,CoRL unknown-object branch,sim-to-real perception for manipulation,unknown object grasping,stereo vision,perception to grasp inference,unknown objects including transparent objects,Toyota HSR fleet,yes,directly about unknown-object manipulation in novel environments,focused more on perception than full exploration,highly relevant for unseen-object robustness,good sim-to-real seed
candidate,P1,classical-methods,Vision-driven Compliant Manipulation for Reliable High-Precision Assembly Tasks,2021,Robotics: Science and Systems,,10.15607/RSS.2021.XVII.070,https://www.roboticsproceedings.org/rss17/p070.pdf,venue sweep,RSS vision-contact branch,vision-driven compliant control,precision manipulation and insertion,RGBD vision,visual feedback control,object-agnostic insertion and open-world placement,real robot,yes,shows strong generalization to new tasks and environments without force sensing,assembly-focused rather than unseen-object exploration,relevant for reach-touch-place subproblems,good contact-rich visual baseline
candidate,P2,rl-exploration,Unsupervised Skill Discovery for Robotic Manipulation through Automatic Task Generation,2024,Humanoids,,10.1109/humanoids58906.2024.10769879,https://doi.org/10.1109/humanoids58906.2024.10769879,OpenAlex citing expansion,Unsupervised Reinforcement Learning for Transferable Manipulation Skill Discovery,unsupervised RL skill discovery,manipulation,unknown,skill learning,transferable skills broad,robot manipulation,unknown,direct follow-up in RL skill discovery,likely broad rather than contact-specific,relevant RL expansion,good to inspect after main direct papers
candidate,P2,reaching-touch-scan,Learning Goal-Oriented Non-Prehensile Pushing in Cluttered Scenes,2022,IROS,,10.1109/iros47612.2022.9981873,https://doi.org/10.1109/iros47612.2022.9981873,targeted query result,approach unknown object robot arm,goal-oriented manipulation,pushing,vision or state,policy learning,unknown clutter broad,cluttered scenes,unknown,closest targeted-query hit for goal-directed contact behavior,not pure reaching and may not emphasize unseen generalization,moderately relevant,keep as weaker adjacent candidate
