rank,title,year,category,current_status,url,why_it_matters,fit_for_project,recommendation
1,PointWorld,2026,3d-world-model,new-note,https://point-world.github.io/,Single pretrained 3D world model with MPC that works from one in-the-wild RGB-D capture and no post-training,very-high,promote
2,Scaling World Model for Hierarchical Manipulation Policies,2026,hierarchical-world-model,already-in-vault,https://arxiv.org/abs/2602.10983,Uses a high-level world model to generate visual subgoals for a low-level VLA and reports large OOD gains,very-high,keep
3,Goal-VLA,2025,object-centric-world-model,already-in-vault,https://arxiv.org/abs/2506.23919,Generates goal images and object-centric targets instead of predicting actions in one shot,high,keep
4,Act2Goal,2025,goal-conditioned-world-model,new-note,https://arxiv.org/abs/2512.23541,Goal-conditioned visual world model with multi-scale temporal control and strong zero-shot OOD gains,high,promote
5,Dream to Manipulate,2025,compositional-world-model,new-note,https://leobarcellona.github.io/DreamToManipulate/,Builds a digital twin style world model and augments demonstrations to improve generalization from very little data,high,promote
6,pi*0.6: A VLA That Learns from Experience,2025,experience-learning-adjacent,new-note,https://www.physicalintelligence.company/download/pistar06.pdf,Not a world model paper but a major recent VLA plus RL paper on improving real-world robustness from experience,high,promote
7,GWM,2025,gaussian-world-model,new-note,https://gaussian-world-model.github.io/,3D Gaussian future-state prediction used as representation learning and as a neural simulator for policy training,medium-high,read-next
8,Visuo-Tactile World Models,2026,contact-world-model,new-note,https://arxiv.org/abs/2602.06001,Tactile-grounded world model for contact-rich tasks with zero-shot real-robot improvements,medium-high,read-next
9,OmniVTA,2026,contact-world-model,already-in-vault,https://arxiv.org/abs/2603.19201,Large visuo-tactile world-model system with reflexive tactile control,medium-high,keep
10,iMoWM,2025,multimodal-world-model,new-note,https://xingyoujun.github.io/imowm/,Autoregressive RGB-depth-mask world model that supports model-based RL and imitation learning,medium,read-next
11,DayDreamer,2023,foundational-world-model-rl,new-note,https://proceedings.mlr.press/v205/wu23c.html,Foundational world-model RL baseline for real robots and sparse rewards,medium,background
12,STORM and other search-time world-model planners,2025,watchlist,watchlist,https://arxiv.org/abs/2509.12470,Promising planning-in-imagination direction but not yet central to this internship,medium,watch
